date,d074,d75plus,dtot,year,month,day,doy,dow,tmean
2006-06-01,45,72,117,2006,6,1,152,5,10.9404612567393
2006-06-02,51,108,159,2006,6,2,153,6,14.6424406261192
2006-06-03,45,85,130,2006,6,3,154,7,16.373946100625
2006-06-04,51,88,139,2006,6,4,155,1,16.4361712648813
2006-06-05,55,74,129,2006,6,5,156,2,15.9274503216981
2006-06-06,56,78,134,2006,6,6,157,3,14.3590207483131
2006-06-07,58,78,136,2006,6,7,158,4,18.0440158620856
2006-06-08,62,74,136,2006,6,8,159,5,19.7886010555139
2006-06-09,61,82,143,2006,6,9,160,6,19.1973496996859
2006-06-10,57,95,152,2006,6,10,161,7,21.0683580090046
2006-06-11,46,104,150,2006,6,11,162,1,22.5598251482478
2006-06-12,58,106,164,2006,6,12,163,2,24.3397336399082
2006-06-13,63,107,170,2006,6,13,164,3,20.5244052203965
2006-06-14,42,75,117,2006,6,14,165,4,16.1545659227265
2006-06-15,61,70,131,2006,6,15,166,5,15.9596704228848
2006-06-16,58,87,145,2006,6,16,167,6,18.0234246608078
2006-06-17,59,86,145,2006,6,17,168,7,20.5824123530034
2006-06-18,54,80,134,2006,6,18,169,1,19.9256223948295
2006-06-19,49,61,110,2006,6,19,170,2,17.7730894302182
2006-06-20,47,75,122,2006,6,20,171,3,18.3598309145333
2006-06-21,42,81,123,2006,6,21,172,4,17.0821715410219
2006-06-22,47,78,125,2006,6,22,173,5,15.5747002245572
2006-06-23,60,80,140,2006,6,23,174,6,15.822198537941
2006-06-24,43,97,140,2006,6,24,175,7,18.5591046361448
2006-06-25,47,72,119,2006,6,25,176,1,17.9009365778367
2006-06-26,63,90,153,2006,6,26,177,2,14.6574633482878
2006-06-27,43,75,118,2006,6,27,178,3,15.3290226306702
2006-06-28,49,76,125,2006,6,28,179,4,16.537930909639
2006-06-29,40,72,112,2006,6,29,180,5,17.7253781073212
2006-06-30,58,98,156,2006,6,30,181,6,19.8136116854414
2006-07-01,53,91,144,2006,7,1,182,7,21.2435116986171
2006-07-02,77,90,167,2006,7,2,183,1,24.3199495197191
2006-07-03,69,91,160,2006,7,3,184,2,23.2867437209385
2006-07-04,56,95,151,2006,7,4,185,3,23.4592146810413
2006-07-05,33,81,114,2006,7,5,186,4,20.4091301953926
2006-07-06,44,97,141,2006,7,6,187,5,20.7212823827051
2006-07-07,54,75,129,2006,7,7,188,6,19.279866741487
2006-07-08,43,63,106,2006,7,8,189,7,17.9228358943004
2006-07-09,52,73,125,2006,7,9,190,1,18.8149154271138
2006-07-10,54,64,118,2006,7,10,191,2,18.2525632670064
2006-07-11,40,72,112,2006,7,11,192,3,21.0561708215537
2006-07-12,49,65,114,2006,7,12,193,4,19.6865549776343
2006-07-13,53,74,127,2006,7,13,194,5,18.5924688923274
2006-07-14,57,56,113,2006,7,14,195,6,17.3016336378949
2006-07-15,64,66,130,2006,7,15,196,7,19.0822998989878
2006-07-16,66,79,145,2006,7,16,197,1,21.5828285974016
2006-07-17,53,79,132,2006,7,17,198,2,23.0213810153313
2006-07-18,56,98,154,2006,7,18,199,3,23.5955053777685
2006-07-19,62,103,165,2006,7,19,200,4,25.6872239389352
2006-07-20,40,83,123,2006,7,20,201,5,25.183832017233
2006-07-21,58,88,146,2006,7,21,202,6,24.2708475980245
2006-07-22,64,93,157,2006,7,22,203,7,24.6829342458886
2006-07-23,51,91,142,2006,7,23,204,1,21.7028727817632
2006-07-24,68,87,155,2006,7,24,205,2,22.3852010069155
2006-07-25,55,91,146,2006,7,25,206,3,24.4451504743233
2006-07-26,54,85,139,2006,7,26,207,4,25.8466695647759
2006-07-27,48,115,163,2006,7,27,208,5,24.4262343355258
2006-07-28,43,99,142,2006,7,28,209,6,22.7729782771967
2006-07-29,64,82,146,2006,7,29,210,7,21.3380536615909
2006-07-30,52,57,109,2006,7,30,211,1,21.7862389293838
2006-07-31,61,73,134,2006,7,31,212,2,20.0608695875228
2006-08-01,63,75,138,2006,8,1,213,3,18.5001613368581
2006-08-02,62,80,142,2006,8,2,214,4,18.4589366951649
2006-08-03,48,78,126,2006,8,3,215,5,17.0174797112435
2006-08-04,55,81,136,2006,8,4,216,6,17.0211797211687
2006-08-05,50,60,110,2006,8,5,217,7,19.5095431520883
2006-08-06,47,89,136,2006,8,6,218,1,22.0008408943246
2006-08-07,59,77,136,2006,8,7,219,2,20.9041681765055
2006-08-08,42,88,130,2006,8,8,220,3,18.3080443152334
2006-08-09,56,72,128,2006,8,9,221,4,19.0985821814164
2006-08-10,47,74,121,2006,8,10,222,5,16.9342408883608
2006-08-11,51,78,129,2006,8,11,223,6,16.4412670096691
2006-08-12,50,71,121,2006,8,12,224,7,16.4997960369075
2006-08-13,53,85,138,2006,8,13,225,1,16.5436640280552
2006-08-14,47,77,124,2006,8,14,226,2,15.5625750589225
2006-08-15,49,74,123,2006,8,15,227,3,17.0811871395713
2006-08-16,44,72,116,2006,8,16,228,4,17.0488651281456
2006-08-17,35,71,106,2006,8,17,229,5,18.4439622232897
2006-08-18,55,61,116,2006,8,18,230,6,17.7846912197761
2006-08-19,48,82,130,2006,8,19,231,7,17.9479819362792
2006-08-20,45,76,121,2006,8,20,232,1,18.2235571394617
2006-08-21,56,73,129,2006,8,21,233,2,17.5011525779872
2006-08-22,64,76,140,2006,8,22,234,3,16.2241024296742
2006-08-23,43,74,117,2006,8,23,235,4,17.4466949338709
2006-08-24,56,61,117,2006,8,24,236,5,17.7270937363711
2006-08-25,45,88,133,2006,8,25,237,6,15.9375400155146
2006-08-26,67,86,153,2006,8,26,238,7,17.4367889722512
2006-08-27,48,80,128,2006,8,27,239,1,17.4688859980322
2006-08-28,56,69,125,2006,8,28,240,2,16.7272742970914
2006-08-29,64,88,152,2006,8,29,241,3,15.9099514360709
2006-08-30,54,60,114,2006,8,30,242,4,15.5265598588169
2006-08-31,44,77,121,2006,8,31,243,5,19.0410759189485
2013-06-01,42,94,136,2013,6,1,152,7,13.9876222464949
2013-06-02,49,72,121,2013,6,2,153,1,13.1696646041327
2013-06-03,42,73,115,2013,6,3,154,2,12.7123281385746
2013-06-04,51,79,130,2013,6,4,155,3,13.4937049588255
2013-06-05,50,78,128,2013,6,5,156,4,14.4554144732222
2013-06-06,43,78,121,2013,6,6,157,5,14.981180080441
2013-06-07,38,73,111,2013,6,7,158,6,14.8659560891401
2013-06-08,42,64,106,2013,6,8,159,7,13.0852495729014
2013-06-09,41,85,126,2013,6,9,160,1,12.4498299747129
2013-06-10,35,83,118,2013,6,10,161,2,12.7770242758952
2013-06-11,56,96,152,2013,6,11,162,3,12.7822177068142
2013-06-12,43,86,129,2013,6,12,163,4,15.6370373228195
2013-06-13,61,71,132,2013,6,13,164,5,15.6099740355328
2013-06-14,49,77,126,2013,6,14,165,6,13.7621181164001
2013-06-15,53,90,143,2013,6,15,166,7,14.0630140003814
2013-06-16,42,56,98,2013,6,16,167,1,14.5480404482247
2013-06-17,59,64,123,2013,6,17,168,2,16.3276264369185
