MSOA11CD,date,d074,d75plus,MSOA11NM,dtot,year,month,day,doy,dow,tmean
E02000001,2006-06-01,0,0,City of London 001,0,2006,6,1,152,5,11.6320724487305
E02000001,2006-06-02,0,0,City of London 001,0,2006,6,2,153,6,14.7614679336548
E02000001,2006-06-03,0,0,City of London 001,0,2006,6,3,154,7,17.080436706543
E02000001,2006-06-04,0,0,City of London 001,0,2006,6,4,155,1,17.0922203063965
E02000001,2006-06-05,0,0,City of London 001,0,2006,6,5,156,2,16.467903137207
E02000001,2006-06-06,0,0,City of London 001,0,2006,6,6,157,3,14.9169025421143
E02000001,2006-06-07,0,0,City of London 001,0,2006,6,7,158,4,18.6838932037354
E02000001,2006-06-08,0,0,City of London 001,0,2006,6,8,159,5,20.5715141296387
E02000001,2006-06-09,0,0,City of London 001,0,2006,6,9,160,6,20.1027221679688
E02000001,2006-06-10,0,1,City of London 001,1,2006,6,10,161,7,21.6806488037109
E02000001,2006-06-11,0,0,City of London 001,0,2006,6,11,162,1,23.3636627197266
E02000001,2006-06-12,0,0,City of London 001,0,2006,6,12,163,2,25.314733505249
E02000001,2006-06-13,0,0,City of London 001,0,2006,6,13,164,3,20.8217830657959
E02000001,2006-06-14,0,0,City of London 001,0,2006,6,14,165,4,16.4426364898682
E02000001,2006-06-15,0,0,City of London 001,0,2006,6,15,166,5,16.4087696075439
E02000001,2006-06-16,0,0,City of London 001,0,2006,6,16,167,6,18.6134738922119
E02000001,2006-06-17,0,0,City of London 001,0,2006,6,17,168,7,21.3579177856445
E02000001,2006-06-18,0,0,City of London 001,0,2006,6,18,169,1,20.49827003479
E02000001,2006-06-19,0,0,City of London 001,0,2006,6,19,170,2,17.9657821655273
E02000001,2006-06-20,0,0,City of London 001,0,2006,6,20,171,3,18.7859706878662
E02000001,2006-06-21,0,0,City of London 001,0,2006,6,21,172,4,17.2568225860596
E02000001,2006-06-22,0,0,City of London 001,0,2006,6,22,173,5,15.7609128952026
E02000001,2006-06-23,0,0,City of London 001,0,2006,6,23,174,6,16.7164192199707
E02000001,2006-06-24,0,0,City of London 001,0,2006,6,24,175,7,18.9502334594727
E02000001,2006-06-25,0,0,City of London 001,0,2006,6,25,176,1,18.3468284606934
E02000001,2006-06-26,0,0,City of London 001,0,2006,6,26,177,2,14.9251804351807
E02000001,2006-06-27,0,0,City of London 001,0,2006,6,27,178,3,15.5652284622192
E02000001,2006-06-28,1,0,City of London 001,1,2006,6,28,179,4,16.8822422027588
E02000001,2006-06-29,0,0,City of London 001,0,2006,6,29,180,5,18.454460144043
E02000001,2006-06-30,0,1,City of London 001,1,2006,6,30,181,6,20.7389068603516
E02000001,2006-07-01,0,0,City of London 001,0,2006,7,1,182,7,22.0919094085693
E02000001,2006-07-02,0,0,City of London 001,0,2006,7,2,183,1,25.1438407897949
E02000001,2006-07-03,0,0,City of London 001,0,2006,7,3,184,2,24.3096828460693
E02000001,2006-07-04,0,0,City of London 001,0,2006,7,4,185,3,24.0768280029297
E02000001,2006-07-05,0,0,City of London 001,0,2006,7,5,186,4,21.2446823120117
E02000001,2006-07-06,0,0,City of London 001,0,2006,7,6,187,5,21.1710891723633
E02000001,2006-07-07,0,0,City of London 001,0,2006,7,7,188,6,19.5752696990967
E02000001,2006-07-08,0,0,City of London 001,0,2006,7,8,189,7,18.3744564056397
E02000001,2006-07-09,0,0,City of London 001,0,2006,7,9,190,1,19.1730804443359
E02000001,2006-07-10,0,0,City of London 001,0,2006,7,10,191,2,18.729808807373
E02000001,2006-07-11,0,0,City of London 001,0,2006,7,11,192,3,21.4297542572022
E02000001,2006-07-12,0,0,City of London 001,0,2006,7,12,193,4,20.4155178070068
E02000001,2006-07-13,0,0,City of London 001,0,2006,7,13,194,5,19.5859470367432
E02000001,2006-07-14,0,0,City of London 001,0,2006,7,14,195,6,18.0957088470459
E02000001,2006-07-15,0,0,City of London 001,0,2006,7,15,196,7,19.7578773498535
E02000001,2006-07-16,0,1,City of London 001,1,2006,7,16,197,1,22.0590782165527
E02000001,2006-07-17,0,0,City of London 001,0,2006,7,17,198,2,23.9903373718262
E02000001,2006-07-18,0,0,City of London 001,0,2006,7,18,199,3,24.530891418457
E02000001,2006-07-19,0,0,City of London 001,0,2006,7,19,200,4,26.4661102294922
E02000001,2006-07-20,0,0,City of London 001,0,2006,7,20,201,5,25.6141872406006
E02000001,2006-07-21,0,0,City of London 001,0,2006,7,21,202,6,24.9281902313232
E02000001,2006-07-22,0,0,City of London 001,0,2006,7,22,203,7,25.3601741790772
E02000001,2006-07-23,0,0,City of London 001,0,2006,7,23,204,1,21.9272956848145
E02000001,2006-07-24,0,1,City of London 001,1,2006,7,24,205,2,23.2757434844971
E02000001,2006-07-25,0,0,City of London 001,0,2006,7,25,206,3,25.0238456726074
E02000001,2006-07-26,0,0,City of London 001,0,2006,7,26,207,4,26.9862308502197
E02000001,2006-07-27,0,0,City of London 001,0,2006,7,27,208,5,24.877613067627
E02000001,2006-07-28,0,0,City of London 001,0,2006,7,28,209,6,23.4128456115723
E02000001,2006-07-29,0,0,City of London 001,0,2006,7,29,210,7,21.9827671051025
E02000001,2006-07-30,0,0,City of London 001,0,2006,7,30,211,1,22.3858337402344
E02000001,2006-07-31,0,0,City of London 001,0,2006,7,31,212,2,20.4480876922607
E02000001,2006-08-01,0,0,City of London 001,0,2006,8,1,213,3,18.8439273834229
E02000001,2006-08-02,1,0,City of London 001,1,2006,8,2,214,4,18.9398078918457
E02000001,2006-08-03,0,0,City of London 001,0,2006,8,3,215,5,17.1615695953369
E02000001,2006-08-04,0,1,City of London 001,1,2006,8,4,216,6,17.8424663543701
E02000001,2006-08-05,0,0,City of London 001,0,2006,8,5,217,7,19.9664039611816
E02000001,2006-08-06,0,1,City of London 001,1,2006,8,6,218,1,22.7740306854248
E02000001,2006-08-07,0,0,City of London 001,0,2006,8,7,219,2,21.3392524719238
E02000001,2006-08-08,0,0,City of London 001,0,2006,8,8,220,3,19.2786655426025
E02000001,2006-08-09,0,0,City of London 001,0,2006,8,9,221,4,19.2991771697998
E02000001,2006-08-10,0,0,City of London 001,0,2006,8,10,222,5,17.4941120147705
E02000001,2006-08-11,0,1,City of London 001,1,2006,8,11,223,6,16.8338394165039
E02000001,2006-08-12,1,0,City of London 001,1,2006,8,12,224,7,16.7253875732422
E02000001,2006-08-13,0,0,City of London 001,0,2006,8,13,225,1,17.0520839691162
E02000001,2006-08-14,0,1,City of London 001,1,2006,8,14,226,2,15.9125947952271
E02000001,2006-08-15,0,0,City of London 001,0,2006,8,15,227,3,17.2576675415039
E02000001,2006-08-16,0,0,City of London 001,0,2006,8,16,228,4,17.4291515350342
E02000001,2006-08-17,0,0,City of London 001,0,2006,8,17,229,5,18.8285732269287
E02000001,2006-08-18,0,0,City of London 001,0,2006,8,18,230,6,18.0983123779297
E02000001,2006-08-19,0,1,City of London 001,1,2006,8,19,231,7,18.1227531433105
E02000001,2006-08-20,0,0,City of London 001,0,2006,8,20,232,1,18.5565719604492
E02000001,2006-08-21,0,0,City of London 001,0,2006,8,21,233,2,17.6789417266846
E02000001,2006-08-22,0,0,City of London 001,0,2006,8,22,234,3,16.6283874511719
E02000001,2006-08-23,0,0,City of London 001,0,2006,8,23,235,4,17.9765892028809
E02000001,2006-08-24,0,0,City of London 001,0,2006,8,24,236,5,18.1770896911621
E02000001,2006-08-25,0,0,City of London 001,0,2006,8,25,237,6,16.5029125213623
E02000001,2006-08-26,0,0,City of London 001,0,2006,8,26,238,7,17.5597171783447
E02000001,2006-08-27,0,0,City of London 001,0,2006,8,27,239,1,17.9528903961182
E02000001,2006-08-28,0,0,City of London 001,0,2006,8,28,240,2,16.9716262817383
E02000001,2006-08-29,0,0,City of London 001,0,2006,8,29,241,3,16.1715908050537
E02000001,2006-08-30,0,0,City of London 001,0,2006,8,30,242,4,15.9004917144775
E02000001,2006-08-31,0,0,City of London 001,0,2006,8,31,243,5,19.5348739624023
E02000001,2013-06-01,0,0,City of London 001,0,2013,6,1,152,7,14.4434041976929
E02000001,2013-06-02,0,0,City of London 001,0,2013,6,2,153,1,13.4416036605835
E02000001,2013-06-03,0,0,City of London 001,0,2013,6,3,154,2,14.0111026763916
E02000001,2013-06-04,0,0,City of London 001,0,2013,6,4,155,3,14.1571836471558
E02000001,2013-06-05,0,0,City of London 001,0,2013,6,5,156,4,14.8661279678345
E02000001,2013-06-06,0,0,City of London 001,0,2013,6,6,157,5,15.5461025238037
E02000001,2013-06-07,0,0,City of London 001,0,2013,6,7,158,6,15.2959203720093
E02000001,2013-06-08,0,0,City of London 001,0,2013,6,8,159,7,13.5798006057739
E02000001,2013-06-09,0,0,City of London 001,0,2013,6,9,160,1,12.6924343109131
E02000001,2013-06-10,0,0,City of London 001,0,2013,6,10,161,2,13.3040437698364
E02000001,2013-06-11,0,0,City of London 001,0,2013,6,11,162,3,13.4148092269897
E02000001,2013-06-12,0,0,City of London 001,0,2013,6,12,163,4,16.0553226470947
E02000001,2013-06-13,0,0,City of London 001,0,2013,6,13,164,5,15.9281492233276
E02000001,2013-06-14,0,0,City of London 001,0,2013,6,14,165,6,14.3662538528442
E02000001,2013-06-15,0,0,City of London 001,0,2013,6,15,166,7,14.3394165039063
E02000001,2013-06-16,0,0,City of London 001,0,2013,6,16,167,1,15.0073461532593
E02000001,2013-06-17,0,0,City of London 001,0,2013,6,17,168,2,16.9930400848389
E02000001,2013-06-18,0,0,City of London 001,0,2013,6,18,169,3,17.5033912658691
E02000001,2013-06-19,0,0,City of London 001,0,2013,6,19,170,4,21.0653781890869
E02000001,2013-06-20,0,0,City of London 001,0,2013,6,20,171,5,19.029914855957
E02000001,2013-06-21,0,0,City of London 001,0,2013,6,21,172,6,17.9188690185547
E02000001,2013-06-22,0,0,City of London 001,0,2013,6,22,173,7,15.3252735137939
E02000001,2013-06-23,0,0,City of London 001,0,2013,6,23,174,1,15.5067567825317
E02000001,2013-06-24,0,0,City of London 001,0,2013,6,24,175,2,13.8829116821289
E02000001,2013-06-25,0,0,City of London 001,0,2013,6,25,176,3,16.0214214324951
E02000001,2013-06-26,0,0,City of London 001,0,2013,6,26,177,4,15.8738670349121
E02000001,2013-06-27,0,0,City of London 001,0,2013,6,27,178,5,15.9975481033325
E02000001,2013-06-28,0,0,City of London 001,0,2013,6,28,179,6,16.7465877532959
E02000001,2013-06-29,0,0,City of London 001,0,2013,6,29,180,7,17.7538642883301
E02000001,2013-06-30,0,0,City of London 001,0,2013,6,30,181,1,20.6524620056152
E02000001,2013-07-01,0,0,City of London 001,0,2013,7,1,182,2,17.36354637146
E02000001,2013-07-02,0,0,City of London 001,0,2013,7,2,183,3,15.2528400421143
E02000001,2013-07-03,0,0,City of London 001,0,2013,7,3,184,4,17.7556934356689
E02000001,2013-07-04,0,0,City of London 001,0,2013,7,4,185,5,18.3683032989502
E02000001,2013-07-05,1,0,City of London 001,1,2013,7,5,186,6,19.1765937805176
E02000001,2013-07-06,0,0,City of London 001,0,2013,7,6,187,7,20.7778015136719
